ticker,date,time_published,title,summary,source,source_domain,category_within_source,url,overall_sentiment_score,overall_sentiment_label,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label,authors_json,topics_json,banner_image
ABT,2020-03-30,20200330T173500,New rapid coronavirus diagnostic test can provide results in as little as 5 minutes,"Abbott has developed a new rapid coronavirus diagnostic test that can provide positive results in 5 minutes and negative results in 13 minutes, receiving emergency-use authorization from the FDA. The test runs on the company's portable ID NOW platform, already widely available in healthcare settings, and Abbott plans to supply 50,000 tests daily initially. This development aims to significantly speed up COVID-19 testing and aid in quicker diagnosis and treatment decisions.",ABC News,ABC News,General,https://abcnews.go.com/Health/rapid-coronavirus-diagnostic-test-provide-results-minutes/story?id=69875037,0.509386,Bullish,1.000000,0.523031,Bullish,"[""Eden David""]","[{""topic"": ""life_sciences"", ""relevance_score"": ""0.936881""}, {""topic"": ""technology"", ""relevance_score"": ""0.742491""}]",
AMRN,2020-03-30,20200330T175900,Amarin Says Eicosapentaenoic Acid Levels From Vascepa In Reduce-It® Strongly Correlated With Cardiovascular Outcomes,"Amarin Corporation PLC announced that eicosapentaenoic acid (EPA) levels from its drug Vascepa in the REDUCE-IT trial showed a strong correlation with cardiovascular outcomes. The company reported an approximate 400% increase in serum EPA levels following Vascepa administration, while DHA levels decreased by 2.9%. This suggests a significant impact of Vascepa on fatty acid levels related to cardiovascular health.",Reuters,Reuters,General,https://www.reuters.com/article/brief-amarin-says-eicosapentaenoic-acid/brief-amarin-says-eicosapentaenoic-acid-levels-from-vascepa-in-reduce-it-strongly-correlated-with-cardiovascular-outcomes-idUSFWN2BN1MV/,0.404626,Bullish,1.000000,0.414062,Bullish,"[""By Reuters""]","[{""topic"": ""life_sciences"", ""relevance_score"": ""0.910724""}, {""topic"": ""earnings"", ""relevance_score"": ""0.743535""}]",
ABT,2020-03-30,20200330T203100,Abbott Labs CEO on new coronavirus test launches: 'There's a need for more',"Abbott Laboratories has received federal clearance for two coronavirus tests and is developing more diagnostic devices. CEO Miles White emphasized the continued need for more testing capabilities, even as the company ramps up production of its rapid ID NOW COVID-19 test and another molecular test. Robert Ford, set to take over as CEO, confirmed that Abbott is prioritizing the distribution of rapid tests to frontline workers.",CNBC,CNBC,General,https://www.cnbc.com/2020/03/30/abbott-labs-ceo-on-new-coronavirus-tests-there-is-a-need-for-more.html,0.640606,Bullish,1.000000,0.646973,Bullish,"[""Tyler Clifford""]","[{""topic"": ""life_sciences"", ""relevance_score"": ""1.000000""}]",
ELC,2020-03-30,20200330T205900,Lake Charles Power Station Achieves Commercial Operation,"Entergy Louisiana's Lake Charles Power Station has commenced commercial operation ahead of schedule, providing reliable and clean energy to a growing region. This new combined-cycle gas turbine plant is projected to save customers between $1.3 billion and $2 billion over 30 years and significantly reduces carbon dioxide emissions. The project is a key part of Entergy Corporation's strategy to modernize its generation fleet and enhance environmental stewardship.",Entergy,Entergy,General,https://www.entergy.com/news/lake-charles-power-station-achieves-commercial-operation,0.314196,Somewhat-Bullish,0.327584,0.022647,Neutral,"[""Entergy Team""]","[{""topic"": ""earnings"", ""relevance_score"": ""0.613521""}, {""topic"": ""energy_transportation"", ""relevance_score"": ""0.903069""}]",https://www.entergy.com/wp-content/uploads/LCPSWeb.jpg
ETR,2020-03-30,20200330T205900,Lake Charles Power Station Achieves Commercial Operation,"Entergy Louisiana's Lake Charles Power Station has commenced commercial operation ahead of schedule, providing reliable and clean energy to a growing region. This new combined-cycle gas turbine plant is projected to save customers between $1.3 billion and $2 billion over 30 years and significantly reduces carbon dioxide emissions. The project is a key part of Entergy Corporation's strategy to modernize its generation fleet and enhance environmental stewardship.",Entergy,Entergy,General,https://www.entergy.com/news/lake-charles-power-station-achieves-commercial-operation,0.314196,Somewhat-Bullish,1.000000,0.644269,Bullish,"[""Entergy Team""]","[{""topic"": ""earnings"", ""relevance_score"": ""0.613521""}, {""topic"": ""energy_transportation"", ""relevance_score"": ""0.903069""}]",https://www.entergy.com/wp-content/uploads/LCPSWeb.jpg
COHR,2020-03-30,20200330T210000,Coherent and exocad collaborate to streamline digital workflows for dentists,"Coherent and exocad have partnered to simplify and improve digital workflows for dental professionals. The collaboration involves developing a data interface between exocad’s DentalDB software and Coherent’s DENTAL COCKPIT slicer, enabling more efficient production of metal dental restorations. This integration streamlines the process from design to production, improving compatibility and efficiency for users of both platforms.",3D Printing Industry,3D Printing Industry,General,https://3dprintingindustry.com/news/coherent-and-exocad-collaborate-to-streamline-digital-workflows-for-dentists-170441/,0.292858,Somewhat-Bullish,1.000000,0.280734,Somewhat-Bullish,"[""Kubi Sertoglu""]","[{""topic"": ""life_sciences"", ""relevance_score"": ""0.816019""}, {""topic"": ""technology"", ""relevance_score"": ""0.736713""}, {""topic"": ""manufacturing"", ""relevance_score"": ""0.642404""}]",
ADM,2020-03-30,20200330T214121,ADM commits $1 million to fight COVID-19 pandemic,"Archer Daniels Midland Co. (ADM) has pledged $1 million to combat the spread of COVID-19, supporting the World Health Organization, local charities, and matching employee contributions. The company's chairman and CEO, Juan Luciano, emphasized ADM's commitment to employee safety, community support, and maintaining agricultural supply chain continuity. Other companies like Cargill and MGP Ingredients are also contributing to the fight against the pandemic.",Baking Business,Baking Business,General,https://www.bakingbusiness.com/articles/50651-adm-commits-1-million-to-fight-covid-19-pandemic,0.348017,Somewhat-Bullish,1.000000,0.431466,Bullish,"[""Holly Demaree-Saddler""]","[{""topic"": ""life_sciences"", ""relevance_score"": ""0.808204""}, {""topic"": ""economy_macro"", ""relevance_score"": ""0.720777""}, {""topic"": ""manufacturing"", ""relevance_score"": ""0.629842""}, {""topic"": ""retail_wholesale"", ""relevance_score"": ""0.609269""}]",
BG,2020-03-30,20200330T214121,ADM commits $1 million to fight COVID-19 pandemic,"Archer Daniels Midland Co. (ADM) has pledged $1 million to combat the spread of COVID-19, supporting the World Health Organization, local charities, and matching employee contributions. The company's chairman and CEO, Juan Luciano, emphasized ADM's commitment to employee safety, community support, and maintaining agricultural supply chain continuity. Other companies like Cargill and MGP Ingredients are also contributing to the fight against the pandemic.",Baking Business,Baking Business,General,https://www.bakingbusiness.com/articles/50651-adm-commits-1-million-to-fight-covid-19-pandemic,0.348017,Somewhat-Bullish,0.623536,0.331373,Somewhat-Bullish,"[""Holly Demaree-Saddler""]","[{""topic"": ""life_sciences"", ""relevance_score"": ""0.808204""}, {""topic"": ""economy_macro"", ""relevance_score"": ""0.720777""}, {""topic"": ""manufacturing"", ""relevance_score"": ""0.629842""}, {""topic"": ""retail_wholesale"", ""relevance_score"": ""0.609269""}]",
CAG,2020-03-30,20200330T214121,ADM commits $1 million to fight COVID-19 pandemic,"Archer Daniels Midland Co. (ADM) has pledged $1 million to combat the spread of COVID-19, supporting the World Health Organization, local charities, and matching employee contributions. The company's chairman and CEO, Juan Luciano, emphasized ADM's commitment to employee safety, community support, and maintaining agricultural supply chain continuity. Other companies like Cargill and MGP Ingredients are also contributing to the fight against the pandemic.",Baking Business,Baking Business,General,https://www.bakingbusiness.com/articles/50651-adm-commits-1-million-to-fight-covid-19-pandemic,0.348017,Somewhat-Bullish,0.607711,0.334322,Somewhat-Bullish,"[""Holly Demaree-Saddler""]","[{""topic"": ""life_sciences"", ""relevance_score"": ""0.808204""}, {""topic"": ""economy_macro"", ""relevance_score"": ""0.720777""}, {""topic"": ""manufacturing"", ""relevance_score"": ""0.629842""}, {""topic"": ""retail_wholesale"", ""relevance_score"": ""0.609269""}]",
GIS,2020-03-30,20200330T214121,ADM commits $1 million to fight COVID-19 pandemic,"Archer Daniels Midland Co. (ADM) has pledged $1 million to combat the spread of COVID-19, supporting the World Health Organization, local charities, and matching employee contributions. The company's chairman and CEO, Juan Luciano, emphasized ADM's commitment to employee safety, community support, and maintaining agricultural supply chain continuity. Other companies like Cargill and MGP Ingredients are also contributing to the fight against the pandemic.",Baking Business,Baking Business,General,https://www.bakingbusiness.com/articles/50651-adm-commits-1-million-to-fight-covid-19-pandemic,0.348017,Somewhat-Bullish,0.604007,0.325103,Somewhat-Bullish,"[""Holly Demaree-Saddler""]","[{""topic"": ""life_sciences"", ""relevance_score"": ""0.808204""}, {""topic"": ""economy_macro"", ""relevance_score"": ""0.720777""}, {""topic"": ""manufacturing"", ""relevance_score"": ""0.629842""}, {""topic"": ""retail_wholesale"", ""relevance_score"": ""0.609269""}]",
PEP,2020-03-30,20200330T214121,ADM commits $1 million to fight COVID-19 pandemic,"Archer Daniels Midland Co. (ADM) has pledged $1 million to combat the spread of COVID-19, supporting the World Health Organization, local charities, and matching employee contributions. The company's chairman and CEO, Juan Luciano, emphasized ADM's commitment to employee safety, community support, and maintaining agricultural supply chain continuity. Other companies like Cargill and MGP Ingredients are also contributing to the fight against the pandemic.",Baking Business,Baking Business,General,https://www.bakingbusiness.com/articles/50651-adm-commits-1-million-to-fight-covid-19-pandemic,0.348017,Somewhat-Bullish,0.707977,0.313354,Somewhat-Bullish,"[""Holly Demaree-Saddler""]","[{""topic"": ""life_sciences"", ""relevance_score"": ""0.808204""}, {""topic"": ""economy_macro"", ""relevance_score"": ""0.720777""}, {""topic"": ""manufacturing"", ""relevance_score"": ""0.629842""}, {""topic"": ""retail_wholesale"", ""relevance_score"": ""0.609269""}]",
ALL,2020-03-30,20200330T214155,Allstate makes leap into personalized auto insurance pricing,"Allstate has launched a new ""personalized pricing"" option for its Milewise pay-per-mile insurance, allowing auto insurance rates to fluctuate weekly based on driving behavior. This latest iteration of the telematics-based program, first launched in Arizona in September 2019, aims to provide customers with greater control and transparency over their insurance costs. Allstate views this as a significant step in the evolution of telematics within the insurance industry.",Insurance Business America,Insurance Business America,General,https://www.insurancebusinessmag.com/us/news/technology/allstate-makes-leap-into-personalized-auto-insurance-pricing-218341.aspx,0.000428,Neutral,0.336921,0.041076,Neutral,"[""Bethan Moorcraft""]","[{""topic"": ""finance"", ""relevance_score"": ""0.815387""}, {""topic"": ""technology"", ""relevance_score"": ""0.726113""}]",
ALT,2020-03-30,20200330T214159,UAB will collaborate with Altimmune to test a COVID-19 vaccine candidate,"The University of Alabama at Birmingham (UAB) is partnering with biopharmaceutical company Altimmune, Inc. for preclinical testing of its AdCOVID vaccine candidate against COVID-19. This collaboration will involve testing immune responses in mice, a critical step before Altimmune can begin Phase 1 human trials in Q3 of the same year. AdCOVID is a single-dose, intranasal spray vaccine that leverages Altimmune's experience in similar respiratory pathogen vaccines.",News-Medical,News-Medical,General,https://www.news-medical.net/news/20200330/UAB-will-collaborate-with-Altimmune-to-test-a-COVID-19-vaccine-candidate.aspx,0.708154,Bullish,0.984398,0.715260,Bullish,"[""James Ives"", ""M.Psych. (Editor)""]","[{""topic"": ""life_sciences"", ""relevance_score"": ""0.922346""}]",
AMGN,2020-03-30,20200330T214210,LifeMax Launches AmMax Bio Following The License Of Worldwide Rights to a Clinical Stage Orphan Asset From Amgen,"LifeMax Laboratories, Inc. announced the formation of AmMax Bio, Inc. and an exclusive worldwide license from Amgen for AMG 820, a monoclonal antibody for treating orphan diseases. AMG 820, which has completed Phase I/II clinical studies, will be developed for Tenosynovial Giant Cell Tumors (TGCT) and other orphan indications involving CSF-1/CSF-1R biology. This move aligns with LifeMax's focus on developing first-in-class or best-in-class therapies for unmet medical needs in orphan diseases.",Business Wire,Business Wire,General,https://www.businesswire.com/news/home/20200330005041/en/LifeMax-Launches-AmMax-Bio-Following-The-License-Of-Worldwide-Rights-to-a-Clinical-Stage-Orphan-Asset-From-Amgen,0.3429,Somewhat-Bullish,0.922523,0.324774,Somewhat-Bullish,[],"[{""topic"": ""life_sciences"", ""relevance_score"": ""1.000000""}, {""topic"": ""mergers_and_acquisitions"", ""relevance_score"": ""0.810264""}, {""topic"": ""finance"", ""relevance_score"": ""0.613676""}]",
APO,2020-03-30,20200330T214634,Qatar Investment Authority Dodges Bullet by Selling Out of Apollo Commercial Real Estate Finance Before 2020,"This article highlights the Qatar Investment Authority's (QIA) timely divestment from Apollo Commercial Real Estate Finance (ARI) prior to 2020. This move proved strategic as ARI's stock experienced significant declines in early 2020, primarily due to credit market turmoil and concerns over commercial mortgage-backed securities during the pandemic's onset. The QIA's decision allowed it to avoid substantial losses, showcasing a prescient investment strategy.",Sovereign Wealth Fund Institute | SWFI,Sovereign Wealth Fund Institute | SWFI,General,https://www.swfinstitute.org/news/78521/qatar-investment-authority-dodges-bullet-by-selling-out-of-apollo-commercial-real-estate-finance-before-2020,0.193307,Somewhat-Bullish,0.803579,0.300123,Somewhat-Bullish,[],"[{""topic"": ""real_estate"", ""relevance_score"": ""0.917945""}, {""topic"": ""financial_markets"", ""relevance_score"": ""0.814608""}, {""topic"": ""finance"", ""relevance_score"": ""0.713074""}]",
ARI,2020-03-30,20200330T214634,Qatar Investment Authority Dodges Bullet by Selling Out of Apollo Commercial Real Estate Finance Before 2020,"This article highlights the Qatar Investment Authority's (QIA) timely divestment from Apollo Commercial Real Estate Finance (ARI) prior to 2020. This move proved strategic as ARI's stock experienced significant declines in early 2020, primarily due to credit market turmoil and concerns over commercial mortgage-backed securities during the pandemic's onset. The QIA's decision allowed it to avoid substantial losses, showcasing a prescient investment strategy.",Sovereign Wealth Fund Institute | SWFI,Sovereign Wealth Fund Institute | SWFI,General,https://www.swfinstitute.org/news/78521/qatar-investment-authority-dodges-bullet-by-selling-out-of-apollo-commercial-real-estate-finance-before-2020,0.193307,Somewhat-Bullish,0.343191,0.043623,Neutral,[],"[{""topic"": ""real_estate"", ""relevance_score"": ""0.917945""}, {""topic"": ""financial_markets"", ""relevance_score"": ""0.814608""}, {""topic"": ""finance"", ""relevance_score"": ""0.713074""}]",
BLK,2020-03-30,20200330T215135,BlackRock’s Fink sees global economy recovering steadily from coronavirus hit,"BlackRock CEO Larry Fink expects the global economy to recover steadily from the coronavirus outbreak, attributing this to quick actions by central banks and governments in implementing fiscal stimulus. He notes that these measures are more effective now than during typical financial crises and that ETFs played a crucial role in providing liquidity during market stress.",The Globe and Mail,The Globe and Mail,General,https://www.theglobeandmail.com/investing/investment-ideas/article-blackrocks-fink-sees-global-economy-recovering-steadily-from/,0.40566,Bullish,1.000000,0.426319,Bullish,"[""Saqib Iqbal Ahmed""]","[{""topic"": ""economy_macro"", ""relevance_score"": ""0.918414""}, {""topic"": ""financial_markets"", ""relevance_score"": ""0.839394""}, {""topic"": ""economy_monetary"", ""relevance_score"": ""0.722977""}, {""topic"": ""finance"", ""relevance_score"": ""0.605413""}, {""topic"": ""economy_fiscal"", ""relevance_score"": ""0.605397""}]",NULL
BW,2020-03-30,20200330T215613,"B&W Enterprises returns to profitability in 4th quarter, but feels coronavirus impact","Babcock & Wilcox Enterprises Inc. returned to profitability in its fourth quarter of 2019, reporting earnings of $12.4 million compared to a significant loss in the prior year. Despite this improvement, the company still lost money for fiscal 2019 but significantly less than 2018. The Akron manufacturer also indicated that it is being impacted by the spread of the COVID-19 coronavirus.",Akron Beacon Journal,Akron Beacon Journal,General,https://www.beaconjournal.com/story/news/coronavirus/2020/03/30/b-w-enterprises-returns-to/1435258007/,0.409135,Bullish,1.000000,0.398690,Bullish,[],"[{""topic"": ""earnings"", ""relevance_score"": ""0.921233""}, {""topic"": ""manufacturing"", ""relevance_score"": ""0.745281""}, {""topic"": ""economy_macro"", ""relevance_score"": ""0.618667""}]",
CNDT,2020-03-30,20200330T220136,Conduent partners with AWS to assist in Covid-19 response,"Conduent Incorporated announced its partnership with Amazon Web Services (AWS) to help public health agencies respond to Covid-19. Their Maven solution was configured to securely engage patients and track coronavirus cases, with Conduent waiving the software license fee for the Maven Covid-19 module until June 30, 2020. This collaboration aims to provide agility and scalability, speeding up implementation for health organizations.",Outsource Accelerator,Outsource Accelerator,General,https://news.outsourceaccelerator.com/conduent-partners-with-aws-to-assist-in-covid-19-response/,0.007818,Neutral,0.307219,0.031398,Neutral,[],"[{""topic"": ""technology"", ""relevance_score"": ""0.848576""}, {""topic"": ""life_sciences"", ""relevance_score"": ""0.708000""}]",
BA,2020-03-30,20200330T220641,Boeing and Delta Air Lines Suspend Dividends,"Boeing (BA) and Delta Air Lines (DAL) have suspended their dividends and share buyback programs due to the economic impact of the COVID-19 pandemic. Both companies are seeking government aid to shore up capital as the aerospace and airline industries face unprecedented drops in demand. Dividend payments are unlikely to resume before September 2021, aligning with the conditions of the $88 billion taxpayer assistance package for the airline industry.",Dividend.com,Dividend.com,General,https://www.dividend.com/news/2020/03/30/boeing-and-delta-air-lines-suspend-dividends/,-0.693121,Bearish,0.954480,-0.714154,Bearish,"[""Justin Kuepper""]","[{""topic"": ""earnings"", ""relevance_score"": ""0.929655""}, {""topic"": ""financial_markets"", ""relevance_score"": ""0.835467""}, {""topic"": ""economy_fiscal"", ""relevance_score"": ""0.737455""}, {""topic"": ""economy_macro"", ""relevance_score"": ""0.628119""}, {""topic"": ""energy_transportation"", ""relevance_score"": ""0.936168""}]",
DAL,2020-03-30,20200330T220641,"Delta halts Sky Magazine, triggering layoffs at Minneapolis publishing company","Delta Air Lines has stopped carrying its inflight Sky Magazine, which was published by MSP Communications in Minneapolis. This decision has led to layoffs at the Minneapolis publishing company. The move comes as Delta faces significant financial challenges, projecting an 80% revenue decline and losing $50 million daily.",The Business Journals,The Business Journals,General,https://www.bizjournals.com/twincities/news/2020/03/30/delta-halts-sky-magazine-triggering-layoffs-at.html,-0.404166,Bearish,1.000000,-0.418307,Bearish,"[""Nick Halter""]","[{""topic"": ""retail_wholesale"", ""relevance_score"": ""0.734020""}, {""topic"": ""economy_macro"", ""relevance_score"": ""0.632369""}, {""topic"": ""energy_transportation"", ""relevance_score"": ""0.911661""}]",
DAL,2020-03-30,20200330T220641,Boeing and Delta Air Lines Suspend Dividends,"Boeing (BA) and Delta Air Lines (DAL) have suspended their dividends and share buyback programs due to the economic impact of the COVID-19 pandemic. Both companies are seeking government aid to shore up capital as the aerospace and airline industries face unprecedented drops in demand. Dividend payments are unlikely to resume before September 2021, aligning with the conditions of the $88 billion taxpayer assistance package for the airline industry.",Dividend.com,Dividend.com,General,https://www.dividend.com/news/2020/03/30/boeing-and-delta-air-lines-suspend-dividends/,-0.693121,Bearish,1.000000,-0.657285,Bearish,"[""Justin Kuepper""]","[{""topic"": ""earnings"", ""relevance_score"": ""0.929655""}, {""topic"": ""financial_markets"", ""relevance_score"": ""0.835467""}, {""topic"": ""economy_fiscal"", ""relevance_score"": ""0.737455""}, {""topic"": ""economy_macro"", ""relevance_score"": ""0.628119""}, {""topic"": ""energy_transportation"", ""relevance_score"": ""0.936168""}]",
LUV,2020-03-30,20200330T220641,Boeing and Delta Air Lines Suspend Dividends,"Boeing (BA) and Delta Air Lines (DAL) have suspended their dividends and share buyback programs due to the economic impact of the COVID-19 pandemic. Both companies are seeking government aid to shore up capital as the aerospace and airline industries face unprecedented drops in demand. Dividend payments are unlikely to resume before September 2021, aligning with the conditions of the $88 billion taxpayer assistance package for the airline industry.",Dividend.com,Dividend.com,General,https://www.dividend.com/news/2020/03/30/boeing-and-delta-air-lines-suspend-dividends/,-0.693121,Bearish,0.588385,-0.631532,Bearish,"[""Justin Kuepper""]","[{""topic"": ""earnings"", ""relevance_score"": ""0.929655""}, {""topic"": ""financial_markets"", ""relevance_score"": ""0.835467""}, {""topic"": ""economy_fiscal"", ""relevance_score"": ""0.737455""}, {""topic"": ""economy_macro"", ""relevance_score"": ""0.628119""}, {""topic"": ""energy_transportation"", ""relevance_score"": ""0.936168""}]",
